image,adult_males,subadult_males,adult_females,juveniles,pups,unknown
111.jpg,"[(5125, 2550), (4746, 2484), (4065, 2414), (3891, 2297), (5097, 2293), (4072, 2243), (4365, 2101), (3673, 2093), (3586, 1995), (3878, 1920), (4365, 1814), (3073, 1762), (3961, 1687), (4300, 1636), (3665, 1626), (3476, 1427), (4101, 1303), (3886, 1245), (3100, 985), (4648, 739), (3410, 523), (3613, 469), (3167, 167)]","[(5433, 2845), (3720, 2542), (5359, 2427), (4757, 2306), (4888, 2238), (4949, 2061), (4754, 2061), (2177, 1306), (2153, 1302)]","[(4971, 3004), (4883, 2936), (4960, 2874), (5086, 2873), (5085, 2846), (4757, 2832), (5019, 2786), (4995, 2743), (4236, 2678), (4727, 2644), (4505, 2608), (4851, 2533), (4217, 2508), (4628, 2484), (4793, 2482), (4690, 2430), (4212, 2410), (4546, 2404), (4663, 2366), (4152, 2341), (4645, 2273), (3852, 2152), (3940, 2122), (4195, 2107), (4167, 2062), (4148, 2031), (4085, 2025), (4197, 2004), (4173, 1939), (4598, 1926), (4570, 1910), (3585, 1894), (3619, 1886), (3477, 1855), (3545, 1851), (4455, 1841), (3694, 1841), (3414, 1837), (4471, 1815), (4074, 1814), (3525, 1790), (4168, 1763), (3779, 1749), (3436, 1749), (3899, 1744), (4428, 1737), (4125, 1734), (4237, 1716), (4082, 1714), (3818, 1707), (3749, 1696), (4640, 1688), (3485, 1677), (4463, 1651), (3807, 1640), (3520, 1630), (3908, 1629), (3745, 1606), (3953, 1597), (3799, 1597), (3581, 1590), (4111, 1556), (3250, 1548), (4033, 1538), (3656, 1538), (3907, 1521), (4696, 1515), (3822, 1510), (3707, 1509), (3791, 1507), (4120, 1499), (3972, 1473), (4342, 1471), (4166, 1463), (3862, 1458), (4238, 1449), (3258, 1448), (3642, 1437), (4020, 1433), (3688, 1432), (3933, 1419), (3503, 1404), (3613, 1378), (3826, 1370), (3903, 1348), (3707, 1340), (4237, 1332), (3391, 1313), (3237, 1294), (3763, 1292), (3531, 1285), (3310, 1278), (3710, 1276), (3629, 1252), (3555, 1232), (3428, 1191), (3401, 1191), (3624, 1179), (3545, 1172), (3716, 1084), (3489, 1060), (3632, 1054), (3292, 1012), (3921, 966), (3790, 908), (4023, 883), (3861, 873), (3378, 817), (3941, 807), (3416, 733), (3321, 712), (3295, 667), (3484, 663), (3669, 623), (3458, 597), (3749, 572), (3662, 539), (3745, 531), (3400, 470), (3673, 453), (3649, 432), (3402, 401), (3254, 198)]","[(5091, 3317), (4907, 2977), (5084, 2914), (5121, 2852), (4678, 2783), (4952, 2772), (5014, 2679), (4727, 2532), (3993, 2343), (3886, 2088), (3828, 2039), (4189, 2029), (3508, 2020), (4199, 1954), (3523, 1944), (3580, 1926), (3782, 1920), (3687, 1911), (4377, 1902), (3500, 1858), (3404, 1820), (3811, 1780), (3661, 1756), (3548, 1746), (3562, 1721), (3714, 1720), (4107, 1584), (3564, 1500), (3305, 1415), (3696, 1383), (3614, 1360), (3689, 1307), (3445, 1202), (3402, 1083), (3870, 1004), (3943, 1002), (3793, 967), (3423, 675), (3051, 558), (3313, 157)]","[(4944, 2993), (5055, 2761), (4798, 2669), (4250, 2655), (4506, 2581), (4895, 2511), (4825, 2493), (4613, 2492), (4631, 2423), (4037, 2373), (4720, 2363), (4170, 2362), (4150, 2328), (4249, 2311), (4646, 2230), (4271, 2150), (3838, 2141), (3918, 2138), (4106, 2038), (4550, 1882), (3740, 1860), (3568, 1847), (3894, 1781), (3769, 1774), (4120, 1756), (4043, 1756), (4540, 1747), (4136, 1711), (4228, 1703), (3501, 1668), (4688, 1662), (3476, 1628), (3898, 1609), (3569, 1606), (4157, 1593), (3972, 1563), (3605, 1522), (4680, 1521), (4108, 1519), (4030, 1510), (3913, 1500), (3782, 1483), (3878, 1459), (3778, 1447), (3663, 1438), (4170, 1435), (4239, 1386), (3884, 1328), (3673, 1325), (3782, 1314), (3701, 1293), (3549, 1275), (3646, 1242), (3549, 1219), (3626, 1203), (4351, 1189), (3531, 1128), (3707, 1103), (3514, 1076), (3626, 1066), (3758, 1035), (3743, 1016), (3739, 989), (3591, 970), (3841, 952), (3902, 950), (3846, 932), (3993, 922), (3879, 920), (4012, 862), (3827, 850), (3922, 815), (3989, 776), (3506, 721), (3646, 714), (3697, 652), (3457, 442), (3762, 432), (3708, 421), (3440, 365)]","[(3143, 139)]"
112.jpg,"[(2004, 2456), (3511, 1592), (3063, 1590), (3916, 1345), (1580, 1305), (3502, 1302), (3259, 1143), (3563, 1063), (4489, 1057), (4109, 999), (3823, 599)]","[(2379, 2137), (2617, 1918), (2272, 1917), (2453, 1842), (2641, 1517), (2539, 1451), (2799, 1382), (2692, 1343), (3336, 1337), (2921, 1331), (2759, 1326), (2789, 1316), (2815, 1312), (2688, 1310), (4657, 1270), (2853, 1214), (1494, 974), (505, 865), (3988, 673), (391, 160)]","[(1941, 2524), (2350, 2196), (2280, 2178), (2505, 2096), (2243, 2095), (2442, 2091), (2588, 2081), (2424, 2076), (2613, 2073), (2341, 2072), (2546, 2070), (2296, 2055), (2234, 2041), (2050, 2030), (2114, 2019), (2473, 2018), (2282, 2016), (2438, 2009), (2359, 2008), (2395, 1999), (2576, 1998), (2548, 1997), (2708, 1992), (2438, 1984), (2668, 1983), (2423, 1971), (2390, 1970), (2789, 1967), (2157, 1959), (2262, 1958), (2328, 1946), (2381, 1944), (2233, 1939), (2811, 1937), (2677, 1928), (2143, 1925), (2408, 1916), (2297, 1913), (2429, 1905), (2729, 1899), (2189, 1897), (1921, 1890), (2500, 1870), (2227, 1868), (2342, 1865), (2113, 1865), (2063, 1864), (2751, 1860), (2796, 1859), (2308, 1858), (2488, 1854), (2292, 1848), (2165, 1847), (2194, 1844), (2127, 1833), (2335, 1822), (2648, 1817), (1857, 1816), (2679, 1799), (2289, 1797), (3600, 1794), (3586, 1776), (3725, 1770), (3565, 1759), (3651, 1758), (3737, 1730), (3665, 1723), (3697, 1715), (2813, 1688), (3569, 1653), (2860, 1648), (3915, 1646), (3532, 1633), (1875, 1627), (2818, 1612), (3002, 1598), (1879, 1577), (2054, 1570), (2977, 1565), (1905, 1559), (2686, 1557), (1833, 1556), (1715, 1546), (3135, 1541), (3077, 1537), (1786, 1537), (2804, 1535), (2668, 1533), (2935, 1532), (1739, 1529), (3048, 1527), (1642, 1521), (3584, 1519), (3600, 1517), (2004, 1516), (1871, 1515), (197, 1514), (3083, 1507), (3504, 1505), (3112, 1504), (2936, 1504), (2112, 1504), (2988, 1501), (3616, 1500), (3037, 1495), (2159, 1494), (3304, 1493), (1786, 1493), (3276, 1492), (2677, 1485), (256, 1484), (3199, 1480), (194, 1479), (3236, 1478), (2620, 1476), (2603, 1476), (3085, 1474), (2309, 1472), (1730, 1472), (3503, 1470), (3563, 1467), (3153, 1467), (2228, 1464), (1663, 1460), (2257, 1459), (1824, 1459), (3109, 1455), (1591, 1454), (2998, 1452), (3035, 1448), (3228, 1445), (3477, 1441), (2081, 1441), (3051, 1439), (2661, 1436), (1293, 1435), (2703, 1434), (1764, 1432), (3333, 1430), (2999, 1429), (3116, 1427), (3634, 1423), (1766, 1421), (3213, 1418), (3535, 1417), (2177, 1414), (3148, 1412), (3493, 1411), (1854, 1408), (3432, 1407), (3093, 1406), (1978, 1405), (1783, 1405), (3044, 1396), (1694, 1393), (3150, 1391), (1784, 1391), (3194, 1389), (2138, 1384), (3114, 1383), (1740, 1383), (2224, 1382), (3485, 1379), (3163, 1379), (3625, 1372), (271, 1371), (4439, 1368), (3068, 1368), (2007, 1364), (1824, 1364), (3449, 1362), (3173, 1362), (1540, 1361), (3498, 1360), (3524, 1359), (1397, 1359), (242, 1357), (2073, 1356), (1289, 1351), (2171, 1350), (4401, 1348), (3591, 1346), (2148, 1341), (1735, 1341), (3307, 1338), (1963, 1338), (2033, 1335), (1237, 1335), (3509, 1334), (1982, 1329), (284, 1327), (1862, 1323), (437, 1320), (3005, 1319), (1410, 1319), (1526, 1317), (266, 1317), (1924, 1306), (4466, 1305), (1956, 1302), (1533, 1301), (1510, 1298), (1364, 1298), (287, 1298), (3679, 1297), (373, 1296), (1472, 1295), (2152, 1291), (1995, 1291), (2260, 1289), (1448, 1282), (2960, 1279), (4546, 1277), (1672, 1277), (4389, 1275), (1917, 1275), (315, 1275), (4215, 1269), (1964, 1269), (4590, 1267), (4471, 1262), (1498, 1257), (1442, 1253), (1224, 1253), (2196, 1250), (4514, 1248), (4487, 1245), (3599, 1239), (3627, 1234), (1859, 1234), (4451, 1233), (4439, 1233), (1317, 1232), (329, 1224), (4532, 1220), (1303, 1213), (1388, 1208), (1598, 1206), (1416, 1203), (4565, 1199), (445, 1198), (1907, 1195), (4526, 1191), (1873, 1187), (3587, 1178), (382, 1175), (1526, 1171), (1497, 1171), (1730, 1168), (3761, 1162), (3616, 1161), (1306, 1160), (3652, 1157), (2506, 1152), (1265, 1151), (1589, 1149), (4508, 1148), (1226, 1146), (2358, 1134), (2404, 1131), (2541, 1130), (3542, 1129), (2251, 1127), (1807, 1126), (1614, 1123), (4673, 1119), (4420, 1119), (1265, 1111), (4212, 1110), (1679, 1108), (2516, 1107), (2571, 1100), (4426, 1098), (2485, 1096), (2344, 1096), (1330, 1096), (4725, 1093), (3667, 1091), (4447, 1089), (2406, 1088), (1815, 1083), (3692, 1079), (1776, 1069), (2072, 1066), (4381, 1057), (3483, 1044), (3704, 1043), (2324, 1042), (1374, 1032), (4397, 1025), (1267, 1023), (1393, 1013), (3694, 1002), (1663, 1000), (1433, 999), (4428, 996), (595, 995), (3851, 992), (3873, 990), (2091, 989), (1400, 989), (4042, 988), (3722, 986), (2511, 985), (1596, 981), (1877, 974), (2272, 970), (3141, 967), (542, 965), (2548, 964), (2022, 961), (3734, 959), (2492, 959), (3807, 950), (579, 946), (1396, 931), (3721, 921), (3868, 919), (4097, 916), (1424, 912), (2011, 909), (549, 904), (518, 896), (3714, 895), (1480, 894), (1513, 891), (1677, 879), (2026, 877), (4129, 876), (1751, 875), (1376, 873), (2047, 859), (1865, 840), (600, 839), (477, 838), (1719, 837), (446, 835), (1539, 833), (1761, 822), (1829, 821), (1939, 806), (514, 796), (1463, 794), (4152, 792), (1680, 792), (445, 786), (1497, 775), (3693, 762), (2090, 757), (4176, 751), (633, 743), (4202, 735), (455, 731), (2255, 720), (476, 699), (1622, 693), (4066, 685), (2204, 666), (2161, 662), (2144, 652), (1868, 628), (1830, 628), (2090, 603), (538, 599), (1800, 593), (1686, 591), (1616, 588), (1939, 571), (1810, 566), (2119, 555), (2221, 553), (527, 546), (400, 543), (447, 533), (2147, 531), (2084, 530), (1605, 528), (421, 519), (1648, 512), (299, 504), (341, 497), (2056, 494), (1741, 475), (213, 475), (1661, 430)]","[(2464, 2173), (2176, 2088), (2080, 2075), (2616, 2049), (2306, 2010), (2209, 2006), (1821, 1954), (2775, 1920), (2562, 1877), (2376, 1851), (2727, 1831), (2516, 1809), (2359, 1789), (3683, 1781), (2457, 1781), (3529, 1773), (3706, 1768), (3680, 1764), (3536, 1731), (1370, 1702), (2911, 1584), (1676, 1553), (2743, 1550), (2897, 1546), (1825, 1527), (3523, 1526), (3232, 1521), (2889, 1520), (3531, 1505), (1189, 1495), (2893, 1486), (3000, 1467), (2912, 1467), (2129, 1467), (3633, 1462), (344, 1454), (3653, 1452), (3624, 1448), (2919, 1447), (3261, 1442), (1659, 1441), (1124, 1433), (2312, 1430), (3467, 1425), (1640, 1415), (1665, 1412), (1487, 1409), (1451, 1408), (3648, 1403), (3278, 1395), (2762, 1393), (1650, 1393), (1569, 1392), (1384, 1392), (2074, 1383), (3003, 1380), (1349, 1379), (352, 1367), (1669, 1353), (1633, 1349), (1324, 1348), (1429, 1335), (400, 1325), (1346, 1324), (413, 1321), (1368, 1319), (4591, 1311), (4301, 1305), (1240, 1294), (2206, 1289), (3378, 1284), (4363, 1281), (1299, 1269), (4310, 1268), (3657, 1266), (3609, 1262), (1527, 1257), (3677, 1256), (4243, 1253), (2645, 1251), (4178, 1247), (4318, 1235), (4554, 1233), (4377, 1229), (3660, 1229), (3575, 1225), (4645, 1223), (4339, 1218), (3411, 1217), (4361, 1216), (1550, 1210), (1705, 1208), (3622, 1200), (1885, 1200), (1708, 1193), (4735, 1191), (4683, 1190), (1633, 1189), (4375, 1188), (3535, 1179), (4309, 1178), (3563, 1163), (4144, 1156), (4214, 1155), (1283, 1154), (1254, 1150), (4136, 1142), (3635, 1133), (4722, 1132), (3580, 1131), (1497, 1126), (3598, 1125), (4355, 1120), (4633, 1115), (2366, 1109), (1569, 1104), (3562, 1103), (1603, 1103), (3524, 1092), (3464, 1091), (3555, 1089), (1569, 1087), (4372, 1081), (1540, 1071), (530, 1069), (1249, 1068), (2265, 1047), (4334, 1042), (2053, 1040), (4227, 1032), (4414, 1028), (4310, 1026), (1333, 1024), (4033, 1019), (3841, 1018), (4347, 1014), (4196, 992), (557, 991), (524, 989), (4255, 988), (4214, 988), (4204, 988), (1271, 987), (4234, 982), (3670, 982), (4041, 966), (3797, 965), (1550, 963), (3857, 960), (1446, 958), (3779, 952), (1276, 951), (1322, 937), (3538, 920), (4070, 912), (3749, 910), (4054, 909), (3559, 890), (3489, 890), (541, 877), (3638, 876), (3406, 876), (3582, 864), (3893, 859), (560, 858), (3827, 853), (3671, 853), (3715, 847), (4284, 838), (4235, 801), (2082, 789), (571, 786), (482, 781), (4171, 780), (622, 771), (4752, 717), (2184, 684), (536, 682), (2245, 621), (3686, 612), (577, 610), (2171, 592), (1725, 578), (3696, 576), (1964, 554), (1663, 540), (330, 452), (279, 442), (1547, 393), (710, 208)]",[],"[(5418, 715)]"
113.jpg,[],"[(1228, 986), (1102, 986), (1145, 938), (1210, 851), (1122, 759), (1261, 732), (1245, 691), (1282, 683), (1222, 648)]","[(1093, 1002), (966, 966), (1132, 952), (1113, 923), (1174, 915), (1226, 912), (1156, 852), (1143, 820), (1115, 794), (1173, 697)]","[(1161, 981), (1168, 816), (1156, 729)]",[],[]
114.jpg,"[(4653, 3191), (3271, 3019), (3464, 2742), (3965, 2658), (3889, 1917)]","[(3687, 3124), (4819, 2641), (4955, 2578), (4998, 2494), (4011, 2083), (4616, 1893), (3893, 1468)]","[(4041, 3011), (3981, 2947), (4093, 2882), (3908, 2820), (3958, 2812), (4049, 2707), (4123, 2527), (4004, 2519), (3808, 2518), (3949, 2476), (3684, 2468), (3875, 2462)]",[],"[(4097, 2903), (3978, 2809), (4026, 2794), (4019, 2678), (4010, 2619), (3809, 2545), (4012, 2509), (3941, 2496), (3911, 2369)]",[]
115.jpg,[],"[(1761, 2900), (1654, 2184), (1619, 2127), (1773, 1644), (1947, 1351), (1576, 820), (822, 779), (758, 743), (746, 660), (1172, 435), (1366, 375), (1729, 256), (1369, 210)]",[],"[(888, 560), (882, 508), (1518, 223), (1528, 194)]",[],[]
116.jpg,[],[],"[(5462, 1900), (5400, 1870), (5144, 1808), (4998, 1768)]","[(5435, 1877), (5122, 1816), (5288, 1815), (5101, 1801), (5236, 1791), (5328, 1790), (5056, 1781), (5025, 1766), (5052, 1759)]",[],[]
117.jpg,[],"[(785, 1802)]","[(884, 1772)]",[],[],[]
118.jpg,"[(233, 1797)]","[(554, 3055)]","[(656, 3059), (494, 3055), (572, 3038), (511, 3003), (472, 2922), (450, 2711), (158, 1939), (236, 1883), (283, 1858), (277, 1806)]","[(603, 3152), (586, 3147), (583, 3122), (563, 3120), (600, 3119), (539, 3108), (569, 3103), (558, 3093), (532, 3088), (486, 3075), (508, 3074), (516, 3042), (531, 3038), (494, 3021), (532, 3015), (478, 2992), (457, 2991), (491, 2974), (415, 2971), (492, 2960), (452, 2952), (414, 2951), (381, 2949), (517, 2907), (464, 2099), (488, 2098), (466, 2071), (527, 2054), (487, 2054), (541, 2049), (471, 2027), (505, 2014), (515, 1975), (137, 1934), (122, 1922), (150, 1911), (172, 1904), (249, 1869), (282, 1830), (303, 1804), (264, 1791), (271, 1772), (240, 1772)]",[],[]
119.jpg,"[(2220, 1280), (1052, 1267), (2551, 1124), (4480, 1040), (3456, 863), (4682, 836), (2858, 677)]","[(3833, 1991), (2820, 1556), (3013, 959), (3041, 928), (2251, 798), (1756, 772), (1997, 728)]","[(4575, 2119), (4728, 2050), (4654, 1907), (4891, 1878), (1446, 1877), (4818, 1690), (4789, 1634), (2366, 1606), (4630, 1541), (4863, 1456), (4981, 1228), (1772, 1216), (1742, 1071), (4873, 1017), (4920, 759), (4763, 609), (4653, 586), (4801, 585), (4652, 488)]","[(1630, 1669), (4568, 1231)]","[(4541, 2136), (4621, 1902), (4788, 1850), (4765, 1601), (4627, 1497), (4870, 1413), (4962, 1269), (4871, 975), (4864, 727), (4607, 593), (4623, 447)]","[(813, 2328), (418, 2165), (312, 1962), (359, 1724), (4925, 1699), (4924, 1694), (295, 1628), (102, 1137), (3654, 627), (3642, 626), (4984, 521), (4806, 447), (4797, 440), (4787, 434)]"
120.jpg,"[(2233, 1799), (2106, 1207)]",[],"[(1949, 1125), (1989, 990), (1936, 898), (1946, 833), (2577, 763)]","[(2485, 862)]","[(1915, 1150), (2089, 1084), (1988, 1024)]","[(3057, 2264), (3232, 2029), (3347, 1739), (3493, 1304), (4268, 0), (3608, 0)]"
121.jpg,"[(2234, 1922), (2665, 1587), (4287, 1265), (1593, 1073), (2506, 810), (4547, 469)]","[(843, 2545)]","[(1484, 2779), (1779, 2537), (1823, 2488), (1814, 2381), (1890, 2326), (3203, 2325), (2818, 2325), (2854, 2314), (1840, 2310), (2905, 2305), (1832, 2283), (1748, 2277), (2965, 2247), (1784, 2214), (2844, 2207), (2546, 2125), (2808, 2098), (2368, 2074), (2460, 2071), (2577, 2060), (2752, 2033), (1800, 2015), (3240, 1980), (2481, 1949), (2300, 1901), (2341, 1850), (2185, 1844), (2177, 1797), (2304, 1771), (3652, 1715), (2271, 1714), (3573, 1701), (3740, 1665), (3827, 1660), (2103, 1577), (3819, 1570), (2094, 1517), (2252, 1408), (3961, 1390), (3179, 1381), (2853, 1366), (2540, 1362), (2342, 1351), (2618, 1319), (3372, 1290), (2031, 1284), (4652, 1274), (3497, 1264), (3931, 1252), (3996, 1204), (3203, 1193), (3495, 1188), (4475, 1174), (4402, 1172), (2485, 1161), (3752, 1118), (2614, 1111), (4029, 1096), (4623, 1081), (2378, 1070), (4683, 1053), (3303, 1053), (3198, 1043), (1910, 1026), (4272, 1022), (4097, 970), (3929, 951), (2546, 933), (4418, 928), (4504, 860), (4619, 836), (4926, 825), (4214, 825), (2402, 756), (4394, 728), (3845, 704), (5078, 666), (1679, 638), (4739, 635), (4605, 634), (4846, 630), (2496, 599), (4869, 585), (1271, 571), (1595, 496), (2586, 458), (1826, 447), (2835, 386), (2364, 375), (2667, 194)]","[(1781, 2335), (2628, 1991), (3771, 1612), (4595, 1202), (4540, 1127), (3906, 910), (4652, 901)]","[(1353, 2985), (1793, 2572), (1774, 2363), (2600, 2242), (2887, 2149), (1936, 2145), (1655, 2056), (2566, 1863), (2500, 1823), (3751, 1697), (2921, 1673), (3545, 1652), (3463, 1449), (2150, 1418), (1927, 1320), (3229, 1314), (2391, 1301), (3974, 1282), (2611, 1273), (2073, 1246), (3423, 1234), (2074, 1216), (3261, 1160), (4375, 1081), (2447, 1075), (2999, 1068), (3756, 1049), (2405, 1033), (1961, 1032), (2572, 1027), (4667, 1026), (2597, 1016), (3894, 988), (4068, 968), (2662, 953), (4287, 943), (2639, 943), (3141, 931), (4186, 930), (3160, 912), (3130, 899), (2717, 899), (2552, 898), (3172, 895), (3173, 868), (3187, 862), (4591, 811), (2917, 778), (4280, 763), (4415, 753), (2413, 721), (4110, 691), (4621, 662), (3771, 651), (2488, 631), (1622, 617), (4685, 615), (3597, 609), (3632, 557), (1322, 551), (4834, 536), (2545, 497), (1858, 468), (1538, 403), (2869, 379), (2296, 276), (2635, 151)]","[(2614, 153)]"
122.jpg,"[(1096, 3470), (315, 3171), (457, 3087), (3498, 3084), (967, 2801), (745, 2573), (2666, 2513), (997, 1965), (1251, 1881), (2019, 1568), (799, 1405)]","[(1478, 3700), (639, 3692), (349, 3670), (3354, 3657), (679, 3443), (152, 3417), (462, 3413), (158, 3342), (398, 3317), (459, 3300), (547, 3293), (1047, 3276), (157, 3273), (775, 3239), (2310, 3185), (536, 3182), (175, 3146), (747, 3136), (1070, 3092), (264, 3029), (1135, 3023), (278, 3007), (612, 2965), (300, 2934), (1165, 2910), (1381, 2855), (652, 2725), (543, 2706), (664, 2702), (692, 2685), (1036, 2648), (933, 2639), (1176, 2622), (773, 2459), (1192, 2441), (666, 2439), (1034, 2410), (1206, 2292), (769, 2222), (817, 2058), (1482, 1950), (881, 1733), (1480, 60)]","[(160, 3507), (681, 3368), (66, 3349), (793, 3330), (883, 3291), (1225, 3220), (861, 3198), (207, 3155), (918, 3143), (837, 3033), (835, 3007), (1125, 2991), (836, 2980), (691, 2957), (941, 2945), (440, 2944), (867, 2901), (841, 2886), (884, 2799), (1158, 2787), (671, 2786), (491, 2767), (993, 2752), (1038, 2748), (1206, 2739), (1323, 2738), (1134, 2709), (600, 2701), (730, 2623), (1200, 2555), (1000, 2527), (1116, 2480), (529, 2097), (533, 2016), (495, 1963), (536, 1940), (875, 1465)]","[(335, 3710), (315, 3701), (317, 3658), (343, 3647), (348, 3626), (348, 3613), (357, 3595), (340, 3583), (305, 3517), (603, 3492), (363, 3390), (756, 3362), (152, 3196), (427, 2857)]",[],[]
123.jpg,[],[],"[(2385, 1774)]",[],[],"[(96, 838)]"
124.jpg,"[(1850, 3278), (1957, 3088), (2006, 2399), (1202, 2322), (1478, 2205), (2459, 2087), (2071, 1979), (2271, 1808), (2908, 1662), (2202, 1503), (2765, 1465), (1731, 1344), (3601, 1211), (3031, 1057), (2669, 916), (3637, 907), (3254, 873), (3029, 669), (2569, 596)]","[(2529, 3059), (1895, 2782), (1316, 2719), (1282, 2612), (2138, 2353), (2756, 1022), (3324, 748), (3815, 253)]","[(2234, 3231), (1990, 3140), (2025, 3125), (1923, 3085), (2040, 3060), (1924, 3020), (1992, 3016), (1087, 2808), (1246, 2780), (1298, 2779), (1074, 2773), (2073, 2728), (1130, 2723), (1014, 2671), (1173, 2662), (2043, 2596), (920, 2594), (1068, 2586), (1937, 2579), (2140, 2561), (1337, 2544), (2298, 2527), (1108, 2527), (1228, 2521), (1137, 2490), (1402, 2489), (2054, 2485), (1518, 2479), (2057, 2447), (1920, 2446), (1531, 2407), (1500, 2400), (1946, 2398), (1516, 2365), (1993, 2330), (2154, 2297), (1494, 2297), (1284, 2286), (1143, 2286), (2048, 2240), (1530, 2219), (1566, 2211), (1514, 2196), (1284, 2184), (1598, 2159), (2294, 2094), (2533, 2074), (2077, 2047), (2499, 1981), (2853, 1888), (2517, 1886), (2567, 1869), (2615, 1847), (3053, 1825), (2776, 1794), (3024, 1700), (2252, 1674), (2193, 1666), (3035, 1660), (3021, 1633), (2218, 1609), (2346, 1603), (2228, 1571), (2273, 1569), (2304, 1543), (2311, 1506), (2254, 1500), (3186, 1433), (2248, 1433), (3333, 1304), (3154, 1227), (3149, 1180), (2929, 1160), (3015, 1127), (3425, 1126), (3068, 1113), (3509, 1004), (3193, 963), (3231, 907), (2947, 883), (2844, 858), (2929, 812), (2993, 792), (2948, 763), (2870, 741), (3258, 731), (3244, 729), (2899, 713), (2528, 679), (3092, 656), (2518, 652), (2978, 645), (3503, 637), (3018, 619), (3119, 604), (2617, 599), (2617, 571), (3266, 553), (3718, 546), (3514, 514), (3449, 482), (3931, 474), (3273, 470), (3753, 209)]","[(2235, 3197), (2056, 3186), (2072, 3164), (2104, 3111), (2112, 3082), (1890, 3031), (2026, 3009), (2046, 2984), (1255, 2833), (1103, 2796), (1339, 2777), (1098, 2758), (1163, 2749), (2031, 2748), (1254, 2715), (1339, 2700), (1202, 2694), (1040, 2688), (1226, 2648), (1215, 2609), (2151, 2589), (1094, 2583), (1293, 2582), (943, 2578), (1224, 2562), (1422, 2554), (1073, 2548), (1079, 2529), (1910, 2528), (2063, 2521), (1148, 2515), (2002, 2506), (1514, 2492), (1373, 2450), (1481, 2442), (2002, 2438), (1949, 2434), (1464, 2401), (1611, 2359), (1977, 2358), (1302, 2312), (1129, 2280), (2121, 2255), (1518, 2246), (1570, 2176), (2127, 2132), (1364, 2129), (1462, 2124), (1468, 2102), (1611, 2065), (2313, 2043), (1581, 2030), (2344, 1992), (1624, 1980), (2851, 1804), (1840, 1803), (2860, 1756), (3007, 1672), (2203, 1635), (3004, 1614), (2268, 1536), (2337, 1385), (2315, 1371), (3137, 1137), (3410, 1081), (3485, 1053), (3062, 971), (2848, 819), (3083, 814), (2518, 762), (2541, 658), (3222, 628), (3081, 627), (3232, 581), (3195, 564), (3163, 555), (3455, 551), (3543, 543), (3663, 492), (3917, 432), (3344, 421), (3299, 416), (3342, 371), (3726, 192)]","[(2151, 2549), (2299, 2510), (1369, 2478), (2014, 2446), (1299, 2418), (1295, 2205), (1512, 2154), (2279, 2110), (2506, 2008), (2572, 1896), (2859, 1869), (2690, 1864), (2508, 1859), (2602, 1802), (2667, 1786), (2759, 1760), (2990, 1732), (2221, 1715), (2210, 1691), (2365, 1596), (2326, 1510), (3342, 1373), (2948, 1157), (3028, 1152), (3270, 1110), (3246, 1039), (3268, 1035), (3203, 985), (3475, 984), (3250, 964), (3113, 944), (3195, 904), (2942, 860), (2860, 831), (2952, 815), (3029, 803), (3101, 789), (2990, 754), (3174, 736), (3193, 695), (3077, 685), (2986, 670), (2625, 659), (3324, 579), (3297, 497), (3369, 484)]",[]
125.jpg,"[(4136, 2930), (3864, 2627), (3913, 2465), (4151, 2417), (4082, 2118), (3982, 1865)]","[(4148, 2964)]","[(4036, 2968), (3995, 2937), (4030, 2908), (3963, 2904), (4158, 2885), (4170, 2823), (3944, 2800), (4103, 2798), (4273, 2751), (4211, 2734), (3927, 2698), (3987, 2691), (4201, 2600), (3953, 2520), (4055, 2473), (4105, 2391), (3992, 2387), (4063, 2376), (3984, 2338), (3841, 2332), (4113, 2324), (4049, 2317), (4150, 2305), (4088, 2301), (3992, 2284), (4121, 2277), (4044, 2241), (4140, 2230), (4126, 2192), (3867, 2179), (3959, 2124), (3997, 2118), (3920, 1894), (3954, 1875), (3930, 1865), (4017, 1803)]","[(4003, 2955), (3957, 2928), (4150, 2810), (3921, 2797), (4085, 2789), (4191, 2780), (4232, 2773), (4019, 2765), (3861, 2718), (3903, 2717), (3972, 2672), (3932, 2511), (4118, 2490), (4091, 2485), (3818, 2473), (4093, 2465), (4108, 2427), (4013, 2418), (4126, 2368), (4145, 2337), (4138, 2264), (4068, 2230), (4139, 2202), (4057, 2171), (3983, 2142), (4053, 1888), (4035, 1836), (4050, 1827), (3913, 1827)]","[(3899, 2694), (3896, 2412), (4018, 2362), (4040, 2335), (3984, 2321), (3934, 2270), (3952, 2135), (3888, 1818)]","[(3831, 696), (3792, 170), (3520, 163), (3734, 92), (3338, 89)]"
